RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
mailLite,1,13,Misto,true,JUtil,true,806
mailLite,1,13,Misto,true,Brics,true,63
mailLite,1,13,Misto,true,JRegex,true,738
mailLite,2,17,Misto,true,JUtil,true,673
mailLite,2,17,Misto,true,Brics,true,71
mailLite,2,17,Misto,true,JRegex,true,478
mailLite,3,30,Misto,true,JUtil,true,1509
mailLite,3,30,Misto,true,Brics,true,136
mailLite,3,30,Misto,true,JRegex,true,777
mailLite,4,27,Misto,true,JUtil,true,938
mailLite,4,27,Misto,true,Brics,true,114
mailLite,4,27,Misto,true,JRegex,true,531
mailLite,5,22,Misto,true,JUtil,true,813
mailLite,5,22,Misto,true,Brics,true,92
mailLite,5,22,Misto,true,JRegex,true,481
mailLite,6,21,Misto,true,JUtil,true,790
mailLite,6,21,Misto,true,Brics,true,84
mailLite,6,21,Misto,true,JRegex,true,489
mailLite,7,18,Misto,true,JUtil,true,717
mailLite,7,18,Misto,true,Brics,true,77
mailLite,7,18,Misto,true,JRegex,true,485
mailLite,8,20,Misto,true,JUtil,true,809
mailLite,8,20,Misto,true,Brics,true,84
mailLite,8,20,Misto,true,JRegex,true,483
mailLite,9,30,Misto,true,JUtil,true,998
mailLite,9,30,Misto,true,Brics,true,132
mailLite,9,30,Misto,true,JRegex,true,495
mailLite,10,12,Misto,false,JUtil,true,1041
mailLite,10,12,Misto,false,Brics,true,56
mailLite,10,12,Misto,false,JRegex,true,453
mailLite,11,12,Misto,false,JUtil,true,182
mailLite,11,12,Misto,false,Brics,true,26
mailLite,11,12,Misto,false,JRegex,true,291
mailLite,12,17,Misto,false,JUtil,true,3964
mailLite,12,17,Misto,false,Brics,true,74
mailLite,12,17,Misto,false,JRegex,true,5094
mailLite,13,25,Misto,false,JUtil,true,794
mailLite,13,25,Misto,false,Brics,true,61
mailLite,13,25,Misto,false,JRegex,true,507
mailLite,14,19,Misto,false,JUtil,true,177
mailLite,14,19,Misto,false,Brics,true,18
mailLite,14,19,Misto,false,JRegex,true,271
mailLite,15,13,Misto,false,JUtil,true,774
mailLite,15,13,Misto,false,Brics,true,59
mailLite,15,13,Misto,false,JRegex,true,498
mailLite,16,23,Misto,false,JUtil,true,1184
mailLite,16,23,Misto,false,Brics,true,96
mailLite,16,23,Misto,false,JRegex,true,727
mailLite,17,30,Misto,true,JUtil,true,1173
mailLite,17,30,Misto,true,Brics,true,135
mailLite,17,30,Misto,true,JRegex,true,719
mailLite,18,24,Misto,false,JUtil,true,1891
mailLite,18,24,Misto,false,Brics,true,67
mailLite,18,24,Misto,false,JRegex,true,1641
mailLite,19,12,Misto,false,JUtil,true,626
mailLite,19,12,Misto,false,Brics,true,39
mailLite,19,12,Misto,false,JRegex,true,451
mailLite,20,10,Misto,false,JUtil,true,697
mailLite,20,10,Misto,false,Brics,true,52
mailLite,20,10,Misto,false,JRegex,true,561
mailLite,21,12,Misto,false,JUtil,true,751
mailLite,21,12,Misto,false,Brics,true,58
mailLite,21,12,Misto,false,JRegex,true,558
mailLite,22,15,Misto,true,JUtil,true,550
mailLite,22,15,Misto,true,Brics,true,67
mailLite,22,15,Misto,true,JRegex,true,455
mailLite,23,15,Misto,true,JUtil,true,529
mailLite,23,15,Misto,true,Brics,true,65
mailLite,23,15,Misto,true,JRegex,true,461
mailLite,24,18,Misto,true,JUtil,true,616
mailLite,24,18,Misto,true,Brics,true,77
mailLite,24,18,Misto,true,JRegex,true,461
mailLite,25,21,Misto,true,JUtil,true,653
mailLite,25,21,Misto,true,Brics,true,87
mailLite,25,21,Misto,true,JRegex,true,465
mailLite,26,13,Misto,false,JUtil,true,651
mailLite,26,13,Misto,false,Brics,true,60
mailLite,26,13,Misto,false,JRegex,true,657
mailLite,27,13,Misto,true,JUtil,true,498
mailLite,27,13,Misto,true,Brics,true,59
mailLite,27,13,Misto,true,JRegex,true,452
mailLite,28,16,Misto,true,JUtil,true,616
mailLite,28,16,Misto,true,Brics,true,68
mailLite,28,16,Misto,true,JRegex,true,458
mailLite,29,11,Misto,false,JUtil,true,723
mailLite,29,11,Misto,false,Brics,true,50
mailLite,29,11,Misto,false,JRegex,true,574
mailLite,30,16,Misto,true,JUtil,true,570
mailLite,30,16,Misto,true,Brics,true,70
mailLite,30,16,Misto,true,JRegex,true,459
mailLite,31,273,Misto,true,JUtil,true,5673
mailLite,31,273,Misto,true,Brics,true,1387
mailLite,31,273,Misto,true,JRegex,true,895
mailLite,32,269,Misto,true,JUtil,true,6479
mailLite,32,269,Misto,true,Brics,true,1364
mailLite,32,269,Misto,true,JRegex,true,1169
mailLite,33,274,Misto,false,JUtil,true,12302
mailLite,33,274,Misto,false,Brics,true,1387
mailLite,33,274,Misto,false,JRegex,true,1280
mailLite,34,288,Misto,false,JUtil,true,13392
mailLite,34,288,Misto,false,Brics,true,1464
mailLite,34,288,Misto,false,JRegex,true,2005
mailLite,35,202,Misto,true,JUtil,true,4507
mailLite,35,202,Misto,true,Brics,true,1145
mailLite,35,202,Misto,true,JRegex,true,912
mailLite,36,272,Misto,true,JUtil,true,9134
mailLite,36,272,Misto,true,Brics,true,1391
mailLite,36,272,Misto,true,JRegex,true,1301
mailLite,37,241,Misto,false,JUtil,true,10467
mailLite,37,241,Misto,false,Brics,true,1226
mailLite,37,241,Misto,false,JRegex,true,1813
mailLite,38,215,Misto,true,JUtil,true,4690
mailLite,38,215,Misto,true,Brics,true,1089
mailLite,38,215,Misto,true,JRegex,true,789
mailLite,39,307,Misto,true,JUtil,true,6462
mailLite,39,307,Misto,true,Brics,true,1568
mailLite,39,307,Misto,true,JRegex,true,989
mailLite,40,209,Misto,false,JUtil,true,8898
mailLite,40,209,Misto,false,Brics,true,1102
mailLite,40,209,Misto,false,JRegex,true,1174
mailLite,41,316,Misto,true,JUtil,true,6662
mailLite,41,316,Misto,true,Brics,true,1613
mailLite,41,316,Misto,true,JRegex,true,1005
mailLite,42,23,Misto,true,JUtil,true,839
mailLite,42,23,Misto,true,Brics,true,96
mailLite,42,23,Misto,true,JRegex,true,475
mailLite,43,17,Misto,true,JUtil,true,591
mailLite,43,17,Misto,true,Brics,true,73
mailLite,43,17,Misto,true,JRegex,true,462
mailLite,44,16,Misto,true,JUtil,true,562
mailLite,44,16,Misto,true,Brics,true,71
mailLite,44,16,Misto,true,JRegex,true,474
mailLite,45,87,Misto,true,JUtil,true,2141
mailLite,45,87,Misto,true,Brics,true,433
mailLite,45,87,Misto,true,JRegex,true,568
mailLite,46,269,Misto,true,JUtil,true,6748
mailLite,46,269,Misto,true,Brics,true,1378
mailLite,46,269,Misto,true,JRegex,true,1235
mailLite,47,16,Misto,true,JUtil,true,615
mailLite,47,16,Misto,true,Brics,true,71
mailLite,47,16,Misto,true,JRegex,true,465
mailLite,48,13,Misto,false,JUtil,true,540
mailLite,48,13,Misto,false,Brics,true,33
mailLite,48,13,Misto,false,JRegex,true,446
mailLite,49,22,Misto,true,JUtil,true,1288
mailLite,49,22,Misto,true,Brics,true,95
mailLite,49,22,Misto,true,JRegex,true,744
mailLite,50,171,Misto,true,JUtil,true,4013
mailLite,50,171,Misto,true,Brics,true,883
mailLite,50,171,Misto,true,JRegex,true,746
