RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
dateLite,39,12,Numeric,false,JUtil,true,73dateLite,39,12,Numeric,false,Brics,true,34dateLite,39,12,Numeric,false,JRegex,true,155
dateLite,40,13,Numeric,false,JUtil,true,71dateLite,40,13,Numeric,false,Brics,true,34dateLite,40,13,Numeric,false,JRegex,true,156
dateLite,41,10,Numeric,true,JUtil,true,148dateLite,41,10,Numeric,true,Brics,true,175dateLite,41,10,Numeric,true,JRegex,true,385
dateLite,42,13,Numeric,false,JUtil,true,71dateLite,42,13,Numeric,false,Brics,true,34dateLite,42,13,Numeric,false,JRegex,true,156
dateLite,43,15,Numeric,false,JUtil,true,72dateLite,43,15,Numeric,false,Brics,true,34dateLite,43,15,Numeric,false,JRegex,true,155
dateLite,44,8,Numeric,false,JUtil,true,71dateLite,44,8,Numeric,false,Brics,true,37dateLite,44,8,Numeric,false,JRegex,true,154
dateLite,45,10,Numeric,true,JUtil,true,159dateLite,45,10,Numeric,true,Brics,true,171dateLite,45,10,Numeric,true,JRegex,true,391
dateLite,46,10,Numeric,false,JUtil,true,73dateLite,46,10,Numeric,false,Brics,true,34dateLite,46,10,Numeric,false,JRegex,true,156
dateLite,47,10,Numeric,false,JUtil,true,72dateLite,47,10,Numeric,false,Brics,true,34dateLite,47,10,Numeric,false,JRegex,true,156
dateLite,48,10,Numeric,true,JUtil,true,150dateLite,48,10,Numeric,true,Brics,true,174dateLite,48,10,Numeric,true,JRegex,true,386
dateLite,49,6,Numeric,false,JUtil,true,72dateLite,49,6,Numeric,false,Brics,true,34dateLite,49,6,Numeric,false,JRegex,true,152
dateLite,50,6,Numeric,false,JUtil,true,68dateLite,50,6,Numeric,false,Brics,true,22dateLite,50,6,Numeric,false,JRegex,true,146
